symbol,name,sector,market,added_date,removed_date
CCI,Crown Castle,Real Estate,US,"",""
CSX,CSX Corporation,Industrials,US,"",""
CMI,Cummins,Industrials,US,"",""
CVS,CVS Health,Health Care,US,"",""
DHR,Danaher Corporation,Health Care,US,"",""
DRI,Darden Restaurants,Consumer Discretionary,US,"",""
DDOG,Datadog,Information Technology,US,"",""
DVA,DaVita,Health Care,US,"",""
DECK,Deckers Brands,Consumer Discretionary,US,"",""
DE,Deere & Company,Industrials,US,"",""
DELL,Dell Technologies,Information Technology,US,"",""
DAL,Delta Air Lines,Industrials,US,"",""
DVN,Devon Energy,Energy,US,"",""
DXCM,Dexcom,Health Care,US,"",""
FANG,Diamondback Energy,Energy,US,"",""
DLR,Digital Realty,Real Estate,US,"",""
DG,Dollar General,Consumer Staples,US,"",""
DLTR,Dollar Tree,Consumer Staples,US,"",""
D,Dominion Energy,Utilities,US,"",""
DPZ,Domino's,Consumer Discretionary,US,"",""
DASH,DoorDash,Consumer Discretionary,US,"",""
DOV,Dover Corporation,Industrials,US,"",""
DOW,Dow Inc.,Materials,US,"",""
DHI,D. R. Horton,Consumer Discretionary,US,"",""
DTE,DTE Energy,Utilities,US,"",""
DUK,Duke Energy,Utilities,US,"",""
DD,DuPont,Materials,US,"",""
ETN,Eaton Corporation,Industrials,US,"",""
EBAY,eBay Inc.,Consumer Discretionary,US,"",""
SATS,EchoStar,Communication Services,US,"",""
ECL,Ecolab,Materials,US,"",""
EIX,Edison International,Utilities,US,"",""
EW,Edwards Lifesciences,Health Care,US,"",""
EA,Electronic Arts,Communication Services,US,"",""
ELV,Elevance Health,Health Care,US,"",""
EME,Emcor,Industrials,US,"",""
EMR,Emerson Electric,Industrials,US,"",""
ETR,Entergy,Utilities,US,"",""
EOG,EOG Resources,Energy,US,"",""
EPAM,EPAM Systems,Information Technology,US,"",""
EQT,EQT Corporation,Energy,US,"",""
EFX,Equifax,Industrials,US,"",""
EQIX,Equinix,Real Estate,US,"",""
EQR,Equity Residential,Real Estate,US,"",""
ERIE,Erie Indemnity,Financials,US,"",""
ESS,Essex Property Trust,Real Estate,US,"",""
EL,Estée Lauder Companies (The),Consumer Staples,US,"",""
EG,Everest Group,Financials,US,"",""
EVRG,Evergy,Utilities,US,"",""
ES,Eversource Energy,Utilities,US,"",""
EXC,Exelon,Utilities,US,"",""
EXE,Expand Energy,Energy,US,"",""
EXPE,Expedia Group,Consumer Discretionary,US,"",""
EXPD,Expeditors International,Industrials,US,"",""
EXR,Extra Space Storage,Real Estate,US,"",""
XOM,ExxonMobil,Energy,US,"",""
